No.,항목,5대 역량,10대 영역,항목 수정,휴넷 항목 수정,DS Keyword,휴넷 Keyword,Final Keyword,강점 Description,보완할점 Description,온/오프라인 콘텐츠,리더십 강화를 위한Tip
1,WLB/잔특근,-,-,일과 생활의 균형,,"일과 생활의 균형
휴가 사용
잔업, 특근(휴일 근무) ","삶의 질, 워라밸, 휴가, 균형,",,,,,
2,공정한 평가/보상/대우,몰입촉진,동기부여,공정한 평가 및 기회,,"공정한 평가
균등한 기회부여","공정성, 평가방식, 
납득성, 기회, 피드백, 
보상",,,,,
3,권한위임,몰입촉진,신뢰구축,권한위임,,"자율적 업무권한 부여
믿고 맡김
마이크로매니징","가이드라인, 업무방식, 자율성, 책임감, 신뢰, 
권한",,,,,
4,다양성/수평적 문화,몰입촉진,신뢰구축,"다양성 존중, 수평적 조직문화",,"다양성, 차이 존중
수평적, 유연한 관계 및 분위기
경직적, 고압적, 관료적 분위기 ","상호존중, 다양성, 이해, 의견제시, 의견수렴, 
명령, 지시, 수용적, 경청, 상호존중",,,,,
5,"마음관리(고충,스트레스)",몰입촉진,신뢰구축,"마음관리(고충, 스트레스 관리 등) ",,"고민, 고충 청취 및 해결
부서원 관심/배려
스트레스, 마음건강 관리","코칭, 상담, 고민, 고충, 관심, 경청, 스트레스, 공감, 배려, 관심",,,,,
6,소통/경청/의견 존중,몰입촉진,신뢰구축,"경청, 공감, 존중의 소통",,"부서원 의견 경청/존중
원활한 대화
활발한 소통, 공감","경청, 공감, 소통, 대화, 언어적/비언어적 반응",,,,,
7,칭찬/격려/동기부여,몰입촉진,동기부여,"동기부여(칭찬, 인정 등)",,"칭찬, 인정, 격려 자존감, 사기 고취
질책, 비난 X","칭찬, 인정, 배려, 질책, 관심, 격려, 피드백, 
구체적, 독려, 동기, 
목표수립",,,,,
8,팀워크/분위기 조성/리더십,몰입촉진,신뢰구축,삭제가능,,,"팀워크, 배려, 동료, 지원, 협조, 협력적, 갈등해결, 업무협조, 리더특성",,,,,
9,변화/혁신/실패용인,미래통찰,변화혁신,혁신 및 도전 추구 ,,"변화, 도전, 혁신 실천
변화, 도전 환경 조성
실수, 실패도 용인","변화관리, 변화수용, 
변화주도, 저항극복, 
혁신적, 추진력, 실행력, 인내심, 성취욕, 능동적 
위험감수",,,,,
10,비전 제시/공유,미래통찰,비전제시,비전 제시 및 공유,,"조직/부서 비전 수립/공유
중장기/미래 준비","비전제시, 비전공유, 
개인비전, 경력관리, 
사업이해",,,,,
11,신사업/시장/고객 개척,미래통찰,변화혁신,신규사업 발굴 및 미래 대비,,"신규 시장/고객 발굴/개척
사업 확장/강화","신사업, 전략, 환경분석, 시장, 고객, 변화추진, 
모니터링, 도전적목표, 
미래지향적",,,,,
12,전략적 사고/행동,미래통찰,변화혁신,전략적 사고 및 행동,,"전략/분석적 사고/행동
거시적/다각적 관점","전략, 의사결정, 추진력, 행동력, 환경분석, 대안수립",,,,,
13,목표/방향성 수립 및 달성,성과창출,,목표/방향성 수립 및 달성,,"도전적 목표수립
구체적이고 명확한 목표
목표 달성을 위한 계획수립 및 실행
목표 열정적 추진","목표수립, 방향제시, 
구체적, 성과관리, 
성취지향, 사업이해",,,,,
14,문제/이슈해결,성과창출,실행력,문제 및 이슈 해결,,"문제에 빠르고 적극적으로 대응
개선 및 해결방안을 제시
문제를 논리적, 다각적으로 분석
문제에 책임을 짐","문제파악, 원인규명, 
문제대응, 문제해결, 
장애요인, 대처능력, 
유연성, 의사결정력, 
분석적사고, 위기관리, 
통찰력",,,,,
15,비효율 제거,성과창출,실행력,비효율 제거,,"보고 효율화
업무 효율화
불필요 업무 관행
자료 준비 및 문서작성
회의 효율화","스마트워크, 원인파악
워크다이어트, 조직개선
업무효율, 업무프로세스",,,,,
16,업무관리/피드백,성과창출,실행력,업무관리 및 피드백,,"업무관심, 이해
일정 및 진행관리
리스크 관리
명확/합리적 업무지시
업무 면담/피드백
과도한 근무강도
현장중심 업무관리
업무 환경 조성 및 개선","계획수립, 목표수립, 
방향제시, 추진력, 
구체적, 관심, 객관적, 
가이드라인, 시간관리",,,,,
17,업무배분,성과창출,협업과 시너지,업무 및 역할 배분,,"공정한 배분
부서원 특성별 배분
명확한 R&R 제시","업무분장, 공정성, 역할, 책임, 형평성, 동료파악",,,,,
18,추진력/실행력/의사결정,성과창출,실행력,추친력/실행력 및 의사결정력,,"의사결정 빠름/과감
업무/결정사항을 효과적으로 추친/실행
의사결정이 논리적/명확
성과창출에 집중","추진력, 실행력, 적극성, 결단력, 판단력, 중요도
우선순위",,,,,
19,현황/정보공유,성과창출,협업과 시너지,정보 공유,,"부서 내/외 현황/업무
공유
적시, 자주 공유
정확, 투명한 공유","투명성, 협업, 현황공유, 정보, 의사소통",,,,,
20,협업/네트워킹(타부서 및 외부),성과창출,협업과 시너지,협업 및 네트워킹,,"부서간 화합/협업/조율
대내외 넓은 네트워킹
대외 업무 활동 및 협의
상사와 소통 및 의견 업무 조율","설득력, 협력적, 협조, 
이견조율, 협력관계, 
이해관계자, 매개역할, 
대인관계",,,,,
21,"역량개발 지원(교육,경력)",인재육성,경력성장지원,역량 및 경력성장 지원,,"부서원 양성/육성 노력
코칭/멘토링
부서 내 지식/노하우 공유
부서원 경력/역량 개발
사내/외 강의/학회/어학 등 학습 기회","목표수립, 변화주도, 
멘토링, 동기부여, 
업무조정",,,,,
22,인재확보/유지,인재육성,인재양성,인재양성,,"우수인재 확보
적시 인력충원
인재확보/유지","인재, 육성, 육성계획, 
경력경로, 기대역할",,,,,
23,경험/노하우,자기관리,학습민첩성,"경험, 노하우 기반 전문성",,"경험, 노하우, 전문성","전문성, 고숙련, 노하우, 영향력, 응용력, 민첩성",,,,,
24,글로벌 역량,자기관리,윤리/글로벌마인드,글로벌 역량,,"어학능력
글로벌 역량
이문화 이해, 경험, 지식","다양성, 문화존중, 어학, 개방성, 외국어구사능력, 변화수용성, 문화적응력, 문화이해력",,,,,
25,소통 스킬,자기관리,학습민첩성,소통 역량,,"대화법/의사표현 스킬
논리적 설명/설득","경청, 효과적 의사전달, 이견조율, 협상능력",,,,,
26,애사심/로열티,자기관리,윤리/글로벌마인드,자부심과 로열티,,애사심/로열티,"조직, 애사심, 자부심,
조직충성도, 업무몰입, 헌신",,,,,
27,열정/끈기/성실,자기관리,윤리/글로벌마인드,열정과 끈기,,"열정/적극적
소극적
근면성실
포기없이 노력/끈기","적극성, 주도적, 열정, 
성취욕, 끈기, 인내심",,,,,
28,인티그리티/도덕성/신뢰,자기관리,윤리/글로벌마인드,도덕성과 인성,,"인성
롤모델
도덕성
원칙준수","윤리, 도덕적사고, 
예의범절, 봉사정신, 
규율 준수, 준법정신",,,,,
29,자기 통제,자기관리,윤리/글로벌마인드,"자기조절(건강, 스트레스 관리 등)",,"스트레스 관리
감정기복
건강관리","회복탄력성, 자제력, 
감정조절, 스트레스관리",,,,,
30,자신감/자기과신,자기관리,학습민첩성,자신감,,"자신감
자기과신","자신감, 자존감, 
과대평가, 자기신뢰, 
자아효능감, 영향력",,,,,
31,전문지식/기술,자기관리,학습민첩성,직무관련 전문지식과 기술,,"업무 전문성
직무 기술","전문성, 직무, 기술, 
최신성, 자기계발",,,,,
32,긍정성/긍정마인드,자기관리,윤리/글로벌마인드,긍정 마인드 및 자세,,"긍정성
긍정 마인드","오픈마인드, 적극성, 
건설적, 긍정적",,,,,
33,창의성,자기관리,학습민첩성,창의성,,"창의성
유연성","창의성, 신규 노하우, 
아이디어, 현실성, 
유용성, 변화주도, 
창조적",,,,,
34,학습 민첩성,자기관리,학습민첩성,학습 민첩성,,"신기술/트렌드 파악
자기개발/학습
새로운 업무이해","정보수집, 정보활용, 
정보관리, 개방성, 성장, 역량개발",,,,,
35,책임감(프로의식/오너십),자기관리,윤리/글로벌마인드,"책임감(프로의식, 오너십)",,"업무완수 책임감/꼼꼼함
부서원 부담 덜어주기
사장 마인드/주인의식
의사결정에 책임짐","책임의식, 전문성, 
업무몰입, 경영의식, 
주인의식, 충성, 자부심",,,,,
